Matthew 3:15
Matthew 4:4
Matthew 4:7
Matthew 4:10
Matthew 4:17
Matthew 4:19
Matthew 5:3-5:48
Matthew 6:1-6:34
Matthew 7:1-7:27
Matthew 8:3
Matthew 8:4
Matthew 8:7
Matthew 8:10-8:12
Matthew 8:13
Matthew 8:20
Matthew 8:22
Matthew 8:26
Matthew 8:32
Matthew 9:2
Matthew 9:4-9:6
Matthew 9:9
Matthew 9:12-9:13
Matthew 9:15-9:17
Matthew 9:22
Matthew 9:24
Matthew 9:28
Matthew 9:29
Matthew 9:30
Matthew 9:37-9:38
Matthew 10:5-10:42
Matthew 11:4-11:6
Matthew 11:7-11:19
Matthew 11:21-11:24
Matthew 11:25-11:30
Matthew 12:3 to 12:8
Matthew 12:11-12:12
Matthew 12:13
Matthew 12:25-12:37
Matthew 12:39-12:45
Matthew 12:48
Matthew 12:49-12:50
Matthew 13:3-13:9
Matthew 13:11-13:23
Matthew 13:24-13:30
Matthew 13:31-13:32
Matthew 13:33
Matthew 13:37-13:50
Matthew 13:51
Matthew 13:52
Matthew 13:57
Matthew 14:16
Matthew 14:18
Matthew 14:27
Matthew 14:29
Matthew 14:31
Matthew 15:3-15:9
Matthew 15:10-15:11
Matthew 15:13
Matthew 15:16-15:20
Matthew 15:24
Matthew 15:26
Matthew 15:28
Matthew 15:32
Matthew 15:34
Matthew 16:2-16:4
Matthew 16:6
Matthew 16:8-16:11
Matthew 16:13
Matthew 16:15
Matthew 16:17-16:19
Matthew 16:23
Matthew 16:24-16:28
Matthew 17:7
Matthew 17:9
Matthew 17:11-17:12
Matthew 17:17
Matthew 17:20-17:21
Matthew 17:22-17:23
Matthew 17:25
Matthew 17:26-17:27
Matthew 18:3-18:20
Matthew 18:22-18:35
Matthew 19:4-19:6
Matthew 19:8-19:9
Matthew 19:11-19:12
Matthew 19:14
Matthew 19:17
Matthew 19:18-19:19
Matthew 19:21
Matthew 19:23-19:24
Matthew 19:26
Matthew 19:28-19:30
Matthew 20:1-20:16
Matthew 20:18-20:19
Matthew 20:21
Matthew 20:22
Matthew 20:23
Matthew 20:25-20:28
Matthew 20:32
Matthew 21:2-21:3
Matthew 21:13
Matthew 21:16
Matthew 21:19
Matthew 21:21-21:22
Matthew 21:24-21:25
Matthew 21:27-21:31
Matthew 21:31-21:40
Matthew 21:42-21:44
Matthew 22:2-22:14
Matthew 22:18
Matthew 22:20
Matthew 22:21
Matthew 22:29-22:32
Matthew 22:37-22:40
Matthew 22:42
Matthew 22:43-22:45
Matthew 23:2-23:39
Matthew 24:2
Matthew 24:4-24:51
Matthew 25:1 to 25:46
Matthew 26:2
Matthew 26:10-26:13
Matthew 26:18
Matthew 26:21
